lat,lon,value
57.041,10.173,0
57.041,10.175,0
57.041,10.177,0
57.041,10.178,0
57.041,10.18,0
57.041,10.182,0
57.041,10.183,0
57.041,10.185,0
57.041,10.187,0
57.041,10.188,0
57.041,10.19,0
57.041,10.192,0
57.041,10.193,0
57.041,10.195,0
57.041,10.197,0
57.041,10.198,4
57.041,10.2,0
57.041,10.201,0
57.041,10.203,0
57.04,10.205,0
57.04,10.206,0
57.04,10.208,0
57.04,10.21,0
57.04,10.211,0
57.04,10.213,0
57.04,10.215,0
57.04,10.216,0
57.04,10.218,0
57.04,10.22,0
57.04,10.221,0
57.04,10.223,0
57.04,10.225,0
57.04,10.226,0
57.04,10.228,0
57.04,10.23,0
57.04,10.231,0
57.04,10.233,0
57.04,10.234,0
57.04,10.236,0
57.04,10.238,0
57.04,10.239,0
57.04,10.241,0
57.04,10.243,0
57.04,10.244,0
57.04,10.246,0
57.04,10.248,0
57.04,10.249,0
57.04,10.251,0
57.04,10.253,0
57.04,10.254,0
57.04,10.256,0
57.04,10.258,0
57.04,10.259,0
57.04,10.261,0
57.04,10.262,0
57.04,10.264,0
57.04,10.266,0
57.04,10.267,0
57.04,10.269,0
57.04,10.271,0
57.04,10.272,0
57.04,10.274,0
57.04,10.276,0
57.04,10.277,0
57.04,10.279,0
57.04,10.281,0
57.04,10.282,0
57.04,10.284,0
57.04,10.286,0
57.04,10.287,0
57.04,10.289,0
57.04,10.29,0
57.04,10.292,0
57.04,10.294,0
57.04,10.295,0
57.04,10.297,0
57.04,10.299,0
57.04,10.3,0
57.04,10.302,0
57.039,10.304,0
57.039,10.305,0
57.039,10.307,0
57.039,10.309,0
57.039,10.31,0
57.039,10.312,0
57.039,10.314,0
57.039,10.315,0
57.039,10.317,0
57.039,10.318,0
57.039,10.32,0
57.039,10.322,0
57.039,10.323,0
57.039,10.325,0
57.039,10.327,0
57.039,10.328,0
57.039,10.33,0
57.039,10.332,0
57.039,10.333,0
57.039,10.335,0
57.039,10.337,0
57.039,10.338,0
57.039,10.34,0
57.039,10.342,0
57.039,10.343,0
57.039,10.345,0
57.039,10.346,0
57.039,10.348,0
57.039,10.35,0
57.039,10.351,0
57.039,10.353,0
57.039,10.355,0
57.039,10.356,0
57.039,10.358,0
57.039,10.36,0
57.039,10.361,0
57.039,10.363,0
57.039,10.365,0
57.039,10.366,0
57.039,10.368,0
57.039,10.37,0
57.039,10.371,0
57.039,10.373,0
57.039,10.374,0
57.039,10.376,0
57.039,10.378,0
57.039,10.379,0
57.039,10.381,0
57.039,10.383,0
57.039,10.384,0
57.039,10.386,0
57.039,10.388,0
57.039,10.389,0
57.039,10.391,0
57.039,10.393,0
57.039,10.394,0
57.039,10.396,0
57.038,10.398,0
57.038,10.399,0
57.038,10.401,0
57.038,10.402,0
57.038,10.404,0
57.038,10.406,0
57.038,10.407,0
57.038,10.409,0
57.038,10.411,0
57.038,10.412,0
57.038,10.414,0
57.038,10.416,0
57.038,10.417,0
57.038,10.419,0
57.038,10.421,0
57.038,10.422,0
57.038,10.424,0
57.038,10.426,0
57.038,10.427,0
57.038,10.429,0
57.038,10.43,0
57.038,10.432,0
57.038,10.434,4
57.038,10.435,0
57.038,10.437,0
57.038,10.439,0
57.038,10.44,0
57.038,10.442,0
57.038,10.444,0
57.038,10.445,4
57.038,10.447,0
57.038,10.449,0
57.038,10.45,0
57.038,10.452,0
57.038,10.454,0
57.038,10.455,0
57.038,10.457,0
57.038,10.458,0
57.038,10.46,0
57.038,10.462,0
57.038,10.463,4
57.038,10.465,0
57.038,10.467,0
57.038,10.468,0
57.038,10.47,0
57.038,10.472,0
57.038,10.473,0
57.038,10.475,0
57.038,10.477,4
57.038,10.478,4
57.038,10.48,0
57.038,10.482,0
57.038,10.483,0
57.037,10.485,0
57.037,10.486,0
57.037,10.488,0
57.037,10.49,0
57.037,10.491,0
57.037,10.493,0
57.037,10.495,4
57.037,10.496,4
57.037,10.498,4
57.037,10.5,8
57.037,10.501,8
57.037,10.503,8
57.037,10.505,0
57.037,10.506,0
57.037,10.508,0
57.037,10.51,4
57.037,10.511,8
57.037,10.513,4
57.037,10.515,8
57.037,10.516,0
57.037,10.518,4
57.037,10.519,8
57.037,10.521,8
57.037,10.523,0
57.037,10.524,0
57.037,10.526,0
57.037,10.528,0
57.037,10.529,0
57.037,10.531,0
57.037,10.533,0
57.037,10.534,0
57.037,10.536,4
57.037,10.538,0
57.037,10.539,0
57.037,10.541,0
57.037,10.543,0
57.037,10.544,0
57.037,10.546,0
57.037,10.547,0
57.037,10.549,0
57.037,10.551,0
57.037,10.552,0
57.037,10.554,0
57.037,10.556,0
57.037,10.557,0
57.037,10.559,0
57.037,10.561,0
57.037,10.562,8
57.037,10.564,0
57.036,10.566,0
57.036,10.567,0
57.036,10.569,8
57.036,10.571,0
57.036,10.572,0
57.036,10.574,0
57.036,10.575,0
57.036,10.577,0
57.036,10.579,0
57.036,10.58,0
57.036,10.582,0
57.036,10.584,0
57.036,10.585,0
57.036,10.587,0
57.036,10.589,0
57.036,10.59,0
57.036,10.592,0
57.036,10.594,0
57.036,10.595,0
57.036,10.597,0
57.036,10.599,0
57.036,10.6,0
57.045,8.967,0
57.045,8.969,0
57.045,8.97,0
57.045,8.972,0
57.045,8.974,0
57.045,8.975,0
57.045,8.977,0
57.045,8.979,0
57.045,8.98,0
57.045,8.982,0
57.045,8.984,0
57.045,8.985,0
57.045,8.987,0
57.045,8.989,0
57.045,8.99,0
57.045,8.992,0
57.045,8.994,0
57.045,8.995,0
57.045,8.997,8
57.045,8.998,0
57.045,9.0,0
57.045,9.002,0
57.045,9.003,0
57.045,9.005,0
57.045,9.007,0
57.045,9.008,0
57.045,9.01,0
57.045,9.012,0
57.045,9.013,0
57.045,9.015,0
57.045,9.017,0
57.045,9.018,0
57.045,9.02,0
57.045,9.022,0
57.045,9.023,0
57.045,9.025,0
57.045,9.026,0
57.045,9.028,0
57.045,9.03,0
57.045,9.031,0
57.045,9.033,0
57.045,9.035,0
57.045,9.036,0
57.045,9.038,0
57.045,9.04,0
57.045,9.041,0
57.045,9.043,0
57.045,9.045,0
57.045,9.046,0
57.045,9.048,0
57.045,9.05,0
57.045,9.051,0
57.045,9.053,0
57.045,9.055,0
57.045,9.056,0
57.045,9.058,0
57.045,9.059,0
57.045,9.061,0
57.045,9.063,0
57.045,9.064,0
57.045,9.066,0
57.045,9.068,0
57.045,9.069,0
57.045,9.071,0
57.045,9.073,4
57.045,9.074,0
57.045,9.076,0
57.045,9.078,0
57.045,9.079,0
57.045,9.081,0
57.045,9.083,0
57.045,9.084,0
57.045,9.086,0
57.045,9.087,0
57.045,9.089,0
57.045,9.091,0
57.045,9.092,0
57.045,9.094,0
57.045,9.096,0
57.045,9.097,0
57.045,9.099,0
57.045,9.101,0
57.045,9.102,0
57.045,9.104,0
57.045,9.106,0
57.045,9.107,0
57.045,9.109,0
57.045,9.111,0
57.045,9.112,0
57.045,9.114,0
57.045,9.115,0
57.045,9.117,0
57.045,9.119,0
57.045,9.12,0
57.045,9.122,0
57.045,9.124,0
57.045,9.125,0
57.045,9.127,0
57.045,9.129,0
57.045,9.13,0
57.045,9.132,0
57.045,9.134,0
57.045,9.135,0
57.045,9.137,0
57.045,9.139,0
57.045,9.14,0
57.045,9.142,0
57.045,9.144,0
57.045,9.145,0
57.045,9.147,0
57.045,9.148,0
57.045,9.15,0
57.045,9.152,0
57.045,9.153,0
57.045,9.155,0
57.045,9.157,0
57.045,9.158,0
57.045,9.16,0
57.045,9.162,0
57.045,9.163,0
57.045,9.165,0
57.045,9.167,0
57.045,9.168,0
57.045,9.17,0
57.045,9.172,0
57.045,9.173,0
57.045,9.175,0
57.045,9.176,0
57.045,9.178,0
57.045,9.18,0
57.045,9.181,0
57.045,9.183,0
57.045,9.185,0
57.045,9.186,0
57.045,9.188,0
57.045,9.19,0
57.045,9.191,0
57.045,9.193,0
57.045,9.195,0
57.045,9.196,0
57.045,9.198,0
57.045,9.2,0
57.045,9.201,0
57.045,9.203,0
57.045,9.204,0
57.045,9.206,0
57.045,9.208,0
57.045,9.209,0
57.045,9.211,0
57.045,9.213,0
57.045,9.214,0
57.045,9.216,0
57.045,9.218,0
57.045,9.219,0
57.045,9.221,0
57.045,9.223,0
57.045,9.224,0
57.045,9.226,0
57.045,9.228,0
57.045,9.229,0
57.045,9.231,0
57.045,9.233,0
57.045,9.234,0
57.045,9.236,0
57.045,9.237,0
57.045,9.239,0
57.045,9.241,0
57.045,9.242,0
57.045,9.244,0
57.045,9.246,0
57.045,9.247,0
57.045,9.249,0
57.045,9.251,0
57.045,9.252,0
57.045,9.254,0
57.045,9.256,0
57.045,9.257,0
57.045,9.259,0
57.045,9.261,0
57.045,9.262,0
57.045,9.264,0
57.045,9.265,0
57.045,9.267,0
57.045,9.269,0
57.045,9.27,0
57.045,9.272,0
57.045,9.274,0
57.045,9.275,0
57.045,9.277,0
57.045,9.279,0
57.045,9.28,0
57.045,9.282,0
57.045,9.284,0
57.045,9.285,0
57.045,9.287,0
57.045,9.289,0
57.045,9.29,0
57.045,9.292,0
57.045,9.293,0
57.045,9.295,0
57.045,9.297,0
57.045,9.298,0
57.045,9.3,0
57.045,9.302,0
57.045,9.303,0
57.045,9.305,0
57.045,9.307,0
57.045,9.308,0
57.045,9.31,0
57.045,9.312,0
57.045,9.313,0
57.045,9.315,0
57.045,9.317,0
57.045,9.318,0
57.045,9.32,0
